GROUP;PACKAGE;CLASS;Coverage Instructions;Coverage Branches;Coverage Lines;Coverage Complexity;Coverage Methods;Missed Instructions;Covered Instructions;Missed Branches;Covered Branches;Missed Lines;Covered Lines;Missed Complexity;Covered Complexity;Missed Methods;Covered Methods
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.xy;OHLCDataItem;78%;56,25%;71,43%;41,18%;66,67%;26;93;7;9;10;25;10;7;3;6
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.xy;XIntervalDataItem;88%;50,00%;80,00%;62,50%;100,00%;6;42;3;3;3;12;3;5;0;5
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.xy;VectorDataItem;55%;25,00%;46,67%;37,50%;50,00%;24;29;3;1;8;7;5;3;3;3
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.xy;AbstractIntervalXYDataset;100%;75,00%;100,00%;77,78%;100,00%;0;59;2;6;0;21;2;7;0;5
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.xy;XYSeriesCollection;80%;71,43%;79,08%;76,54%;89,74%;140;573;24;60;41;155;19;62;4;35
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.xy;XYIntervalSeries;100%;0,00%;100,00%;100,00%;100,00%;0;82;0;0;0;21;0;11;0;11
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.xy;YInterval;93%;80,00%;90,00%;80,00%;100,00%;4;56;2;8;2;18;2;8;0;5
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.xy;DefaultWindDataset;65%;60,00%;63,38%;46,43%;53,85%;104;197;12;18;26;45;15;13;6;7
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.xy;AbstractXYZDataset;18%;0,00%;16,67%;33,33%;50,00%;14;3;2;0;5;1;2;1;1;1
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.xy;XYDataItem;84%;75,00%;87,23%;76,19%;92,31%;25;127;4;12;6;41;5;16;1;12
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.xy;DefaultIntervalXYDataset;87%;63,89%;82,30%;47,37%;65,00%;74;475;13;23;20;93;20;18;7;13
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.xy;YIntervalSeriesCollection;63%;37,50%;64,29%;58,33%;65,00%;85;145;5;3;20;36;10;14;7;13
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.xy;VectorSeriesCollection;44%;62,50%;50,94%;45,45%;44,44%;118;91;3;5;26;27;12;10;10;8
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.xy;DefaultHighLowDataset;50%;60,00%;46,48%;32,35%;15,79%;125;123;12;18;38;33;23;11;16;3
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.xy;XYBarDataset;53%;42,86%;54,00%;44,83%;54,55%;96;110;8;6;23;27;16;13;10;12
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.xy;XYDatasetTableModel;0%;0,00%;0,00%;0,00%;0,00%;99;0;12;0;32;0;16;0;10;0
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.xy;XIntervalSeries;100%;0,00%;100,00%;100,00%;100,00%;0;64;0;0;0;17;0;9;0;9
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.xy;XIntervalSeriesCollection;44%;50,00%;49,25%;40,74%;40,91%;151;118;5;5;34;33;16;11;13;9
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.xy;VectorSeries;78%;0,00%;80,00%;80,00%;80,00%;16;58;0;0;4;16;2;8;2;8
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.xy;XYIntervalDataItem;86%;50,00%;78,26%;58,33%;100,00%;10;62;5;5;5;18;5;7;0;7
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.xy;DefaultXYDataset;79%;66,67%;75,00%;56,67%;73,33%;76;284;10;20;20;60;13;17;4;11
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.xy;NormalizedMatrixSeries;0%;0,00%;0,00%;0,00%;0,00%;70;0;0;0;19;0;6;0;6;0
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.xy;WindDataItem;71%;56,25%;64,29%;28,57%;50,00%;26;65;7;9;10;18;10;4;3;3
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.xy;DefaultTableXYDataset;83%;71,21%;81,82%;66,67%;75,00%;115;543;19;47;30;135;23;46;9;27
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.xy;IntervalXYDelegate;82%;73,81%;84,38%;65,12%;81,82%;62;289;11;31;15;81;15;28;4;18
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.xy;DefaultXYZDataset;87%;69,23%;83,72%;56,67%;70,59%;52;358;8;18;14;72;13;17;5;12
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.xy;CategoryTableXYDataset;70%;50,00%;69,84%;57,58%;62,96%;68;159;6;6;19;44;14;19;10;17
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.statistics;DefaultBoxAndWhiskerCategoryDataset;82%;60,00%;80,25%;52,22%;75,56%;129;598;36;54;48;195;43;47;11;34
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.statistics;DefaultStatisticalCategoryDataset;89%;81,25%;86,43%;68,60%;73,33%;77;648;21;91;30;191;27;59;8;22
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.statistics;HistogramBin;56%;50,00%;64,52%;36,84%;77,78%;63;80;10;10;11;20;12;7;2;7
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.statistics;DefaultMultiValueCategoryDataset;70%;54,17%;68,00%;45,45%;55,00%;110;262;22;26;32;68;24;20;9;11
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.statistics;Regression;45%;19,35%;52,27%;21,05%;57,14%;526;432;50;12;84;92;30;8;3;4
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.statistics;SimpleHistogramDataset;50%;53,13%;54,76%;29,55%;35,71%;179;180;15;17;38;46;31;13;18;10
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.statistics;Statistics;59%;63,24%;64,90%;60,42%;71,43%;276;393;25;43;53;98;19;29;4;10
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.statistics;SimpleHistogramBin;68%;72,22%;77,14%;69,23%;91,67%;92;197;15;39;16;54;12;27;1;11
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.statistics;MeanAndStandardDeviation;66%;75,00%;80,65%;66,67%;77,78%;38;73;3;9;6;25;5;10;2;7
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.statistics;HistogramType;100%;0,00%;100,00%;100,00%;100,00%;0;34;0;0;0;7;0;1;0;1
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.statistics;BoxAndWhiskerItem;54%;58,33%;64,06%;53,85%;85,71%;126;150;10;14;23;41;12;14;2;12
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.statistics;BoxAndWhiskerCalculator;87%;64,71%;86,30%;59,09%;80,00%;35;239;12;22;10;63;9;13;1;4
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.statistics;DefaultBoxAndWhiskerXYDataset;77%;57,14%;80,33%;51,02%;75,00%;94;316;18;24;24;98;24;25;7;21
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.statistics;HistogramDataset;78%;71,74%;75,00%;60,00%;68,18%;114;396;13;33;29;87;18;27;7;15
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.block;BorderArrangement;86%;76,19%;86,27%;62,67%;83,33%;201;1258;30;96;39;245;28;47;2;10
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.block;GridArrangement;90%;79,73%;86,11%;70,59%;92,86%;63;587;15;59;20;124;15;36;1;13
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.block;RectangleConstraint;92%;78,57%;94,57%;79,41%;95,00%;26;313;6;22;5;87;7;27;1;19
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.block;LabelBlock;65%;60,71%;66,67%;51,35%;52,17%;116;213;11;17;32;64;18;19;11;12
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.block;FlowArrangement;67%;54,84%;68,99%;46,67%;71,43%;177;365;28;34;40;89;24;21;4;10
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.block;BlockBorder;66%;62,50%;73,68%;55,00%;75,00%;73;142;6;10;15;42;9;11;3;9
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.block;LengthConstraintType;100%;0,00%;100,00%;100,00%;100,00%;0;34;0;0;0;7;0;1;0;1
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.block;EmptyBlock;62%;0,00%;61,54%;60,00%;60,00%;17;28;0;0;5;8;2;3;2;3
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.block;ColumnArrangement;13%;20,00%;19,33%;24,39%;36,36%;417;64;48;12;96;23;31;10;7;4
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.block;ColorBlock;46%;83,33%;54,29%;50,00%;44,44%;60;52;1;5;16;19;6;6;5;4
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.block;CenterArrangement;17%;5,56%;18,06%;12,90%;30,77%;255;53;34;2;59;13;27;4;9;4
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.block;BlockParams;58%;0,00%;57,14%;42,86%;42,86%;14;19;0;0;6;8;4;3;4;3
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.block;BlockContainer;86%;86,36%;86,76%;76,92%;80,00%;34;205;3;19;9;59;6;20;3;12
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.block;Size2D;18%;0,00%;28,57%;28,57%;40,00%;92;20;8;0;20;8;10;4;6;4
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.block;AbstractBlock;73%;88,24%;80,54%;76,36%;76,32%;155;412;4;30;29;120;13;42;9;29
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.block;BlockResult;100%;0,00%;100,00%;100,00%;100,00%;0;13;0;0;0;6;0;3;0;3
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.block;LineBorder;38%;40,91%;44,12%;45,00%;55,56%;157;95;13;9;38;30;11;9;4;5
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot.dial;StandardDialRange;56%;54,17%;51,43%;38,24%;45,45%;172;216;11;13;51;54;21;13;12;10
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot.dial;AbstractDialLayer;80%;70,00%;74,29%;62,50%;72,73%;24;98;3;7;9;26;6;10;3;8
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot.dial;StandardDialScale;57%;60,00%;55,96%;48,10%;44,90%;427;564;24;36;96;122;41;38;27;22
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot.dial;DialPointer.Pointer;31%;70,00%;36,78%;50,00%;53,85%;222;100;3;7;55;32;9;9;6;7
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot.dial;DialBackground;80%;80,00%;78,72%;72,22%;69,23%;28;114;2;8;10;37;5;13;4;9
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot.dial;StandardDialScaleProduct;79%;50,00%;83,33%;82,76%;90,57%;75;282;5;5;20;100;10;48;5;48
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot.dial;DialPointer;55%;62,50%;51,72%;35,71%;40,00%;38;47;3;5;14;15;9;5;6;4
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot.dial;DialPlot;44%;36,25%;46,46%;32,93%;38,10%;489;380;51;29;121;105;55;27;26;16
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot.dial;DialTextAnnotation;73%;77,78%;70,59%;55,17%;55,00%;85;234;4;14;25;60;13;16;9;11
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot.dial;StandardDialFrame;66%;85,71%;67,07%;62,50%;58,82%;102;194;2;12;27;55;9;15;7;10
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot.dial;DialValueIndicator;61%;72,50%;61,78%;53,33%;47,50%;272;425;11;29;73;118;28;32;21;19
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot.dial;ArcDialFrame;58%;86,36%;58,57%;61,11%;56,00%;231;316;3;19;58;82;14;22;11;14
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot.dial;DialPointer.Pin;63%;75,00%;67,31%;66,67%;72,73%;66;111;2;6;17;35;5;10;3;8
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot.dial;DialCap;75%;85,71%;75,36%;65,22%;62,50%;59;179;2;12;17;52;8;15;6;10
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot.dial;StandardDialScaleProduct2;25%;0,00%;33,33%;37,50%;37,50%;33;11;0;0;10;5;5;3;5;3
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot.dial;DialLayerChangeEvent;70%;0,00%;75,00%;50,00%;50,00%;3;7;0;0;1;3;1;1;1;1
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.resources;DataPackageResources_de;0%;0,00%;0,00%;0,00%;0,00%;35;0;0;0;6;0;3;0;3;0
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.resources;DataPackageResources_ru;0%;0,00%;0,00%;0,00%;0,00%;35;0;0;0;6;0;3;0;3;0
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.resources;DataPackageResources_es;0%;0,00%;0,00%;0,00%;0,00%;35;0;0;0;6;0;3;0;3;0
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.resources;DataPackageResources;100%;0,00%;100,00%;100,00%;100,00%;0;35;0;0;0;6;0;3;0;3
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.resources;DataPackageResources_fr;0%;0,00%;0,00%;0,00%;0,00%;35;0;0;0;6;0;3;0;3;0
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.data.resources;DataPackageResources_pl;0%;0,00%;0,00%;0,00%;0,00%;35;0;0;0;6;0;3;0;3;0
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot.flow;FlowPlot;17%;23,64%;28,16%;28,13%;36,59%;1327;270;84;26;227;89;69;27;26;15
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.annotations;XYDrawableAnnotation;53%;63,64%;53,85%;45,45%;45,45%;151;170;8;14;36;42;12;10;6;5
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.annotations;TextAnnotation;98%;87,50%;97,40%;92,31%;100,00%;4;239;2;14;2;75;2;24;0;18
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.annotations;XYImageAnnotation;0%;0,00%;0,00%;0,00%;0,00%;237;0;22;0;70;0;23;0;12;0
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.annotations;CategoryPointerAnnotation;54%;83,33%;58,87%;65,71%;60,87%;263;303;4;20;58;83;12;23;9;14
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.annotations;XYDataImageAnnotation;0%;0,00%;0,00%;0,00%;0,00%;289;0;26;0;81;0;29;0;16;0
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.annotations;XYPointerAnnotation;50%;60,00%;54,90%;57,89%;60,87%;311;309;12;18;69;84;16;22;9;14
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.annotations;AbstractAnnotation;80%;50,00%;78,13%;60,00%;72,73%;21;83;4;4;7;25;6;9;3;8
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.annotations;AbstractXYAnnotation;40%;31,25%;40,00%;31,25%;62,50%;61;41;11;5;21;14;11;5;3;5
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.annotations;XYBoxAnnotation;80%;60,00%;78,49%;32,26%;43,75%;70;288;12;18;20;73;21;10;9;7
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.annotations;XYPolygonAnnotation;40%;38,24%;44,09%;33,33%;46,15%;212;144;21;13;52;41;20;10;7;6
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.annotations;XYShapeAnnotation;43%;46,15%;47,13%;45,45%;66,67%;193;145;14;12;46;41;12;10;3;6
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.annotations;CategoryTextAnnotation;57%;62,50%;56,52%;73,68%;90,91%;96;129;6;10;30;39;5;14;1;10
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.annotations;CategoryLineAnnotation;66%;70,00%;66,95%;75,86%;84,21%;133;264;6;14;39;79;7;22;3;16
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.annotations;XYLineAnnotation;56%;50,00%;54,55%;60,71%;85,71%;157;201;14;14;45;54;11;17;2;12
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.annotations;XYTextAnnotation;90%;84,21%;88,69%;76,47%;81,25%;57;498;6;32;19;149;12;39;6;26
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.annotations;XYTitleAnnotation;71%;47,73%;67,21%;24,32%;40,00%;126;316;23;21;40;82;28;9;9;6
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.event;RendererChangeEvent;100%;0,00%;100,00%;100,00%;100,00%;0;21;0;0;0;8;0;4;0;4
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.event;PlotChangeEvent;70%;0,00%;75,00%;50,00%;50,00%;3;7;0;0;1;3;1;1;1;1
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.event;ChartChangeEventType;100%;0,00%;100,00%;100,00%;100,00%;0;34;0;0;0;7;0;1;0;1
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.event;ChartProgressEvent;40%;0,00%;37,50%;14,29%;14,29%;24;16;0;0;10;6;6;1;6;1
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.event;ChartProgressEventType;100%;0,00%;100,00%;100,00%;100,00%;0;24;0;0;0;5;0;1;0;1
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.event;ChartChangeEvent;71%;0,00%;75,00%;57,14%;57,14%;12;30;0;0;4;12;3;4;3;4
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.event;TitleChangeEvent;70%;0,00%;75,00%;50,00%;50,00%;3;7;0;0;1;3;1;1;1;1
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.event;AxisChangeEvent;100%;0,00%;100,00%;100,00%;100,00%;0;10;0;0;0;4;0;2;0;2
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.event;MarkerChangeEvent;100%;0,00%;100,00%;100,00%;100,00%;0;10;0;0;0;4;0;2;0;2
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.event;AnnotationChangeEvent;77%;0,00%;80,00%;50,00%;50,00%;3;10;0;0;1;4;1;1;1;1
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.api;RectangleAlignmentTest;100%;0,00%;100,00%;100,00%;100,00%;0;264;0;0;0;39;0;2;0;2
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.plot;CombinedRangeCategoryPlotTest;100%;50,00%;100,00%;90,91%;100,00%;1;439;1;1;0;122;1;10;0;10
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.plot;PlotTest;100%;0,00%;100,00%;100,00%;100,00%;0;337;0;0;0;73;0;2;0;2
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.plot;DefaultDrawingSupplierTest;100%;0,00%;100,00%;100,00%;100,00%;0;535;0;0;0;89;0;4;0;4
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.plot;CombinedRangeXYPlotTest;100%;50,00%;100,00%;90,91%;100,00%;1;448;1;1;0;116;1;10;0;10
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.plot;IntervalMarkerTest;100%;0,00%;100,00%;100,00%;100,00%;0;177;0;0;0;48;0;7;0;7
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.plot;MyPlotChangeListener;76%;0,00%;75,00%;75,00%;75,00%;4;13;0;0;2;6;1;3;1;3
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.plot;CategoryPlotTest;98%;50,00%;96,58%;90,48%;100,00%;60;2957;4;4;26;734;4;38;0;38
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.plot;PlotOrientationTest;97%;50,00%;100,00%;75,00%;100,00%;1;34;1;1;0;12;1;3;0;3
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.plot;ThermometerPlotTest;100%;0,00%;100,00%;100,00%;100,00%;0;357;0;0;0;91;0;5;0;5
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.plot;CombinedDomainCategoryPlotTest;100%;50,00%;100,00%;90,91%;100,00%;1;443;1;1;0;122;1;10;0;10
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.plot;MeterPlotTest;100%;50,00%;100,00%;83,33%;100,00%;2;528;1;1;0;124;1;5;0;5
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.plot;CrosshairTest;100%;0,00%;100,00%;100,00%;100,00%;0;328;0;0;0;88;0;6;0;6
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.plot;RingPlotTest;100%;0,00%;100,00%;100,00%;100,00%;0;249;0;0;0;69;0;4;0;4
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.plot;SpiderWebPlotTest;99%;0,00%;98,87%;100,00%;100,00%;4;727;0;0;2;175;0;6;0;6
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.plot;CategoryMarkerTest;98%;0,00%;96,39%;100,00%;100,00%;7;403;0;0;3;80;0;7;0;7
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.plot;PlotRenderingInfoTest;100%;0,00%;100,00%;100,00%;100,00%;0;201;0;0;0;41;0;4;0;4
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.plot;FastScatterPlotTest;99%;100,00%;98,21%;100,00%;100,00%;4;424;0;2;2;110;0;8;0;7
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.plot;PolarPlotTest;100%;0,00%;100,00%;100,00%;100,00%;0;975;0;0;0;221;0;9;0;9
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.plot;MeterIntervalTest;100%;0,00%;100,00%;100,00%;100,00%;0;112;0;0;0;25;0;4;0;4
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.plot;MarkerTest;91%;0,00%;86,74%;100,00%;100,00%;56;559;0;0;24;157;0;16;0;16
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.plot;XYPlotTest;99%;0,00%;98,09%;100,00%;100,00%;33;3556;0;0;16;823;0;48;0;48
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.plot;ValueMarkerTest;99%;0,00%;98,10%;100,00%;100,00%;4;393;0;0;2;103;0;8;0;8
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.plot;CombinedDomainXYPlotTest;100%;50,00%;100,00%;91,67%;100,00%;1;459;1;1;0;120;1;11;0;11
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.imagemap;DynamicDriveToolTipTagFragmentGeneratorTest;100%;0,00%;100,00%;100,00%;100,00%;0;18;0;0;0;8;0;2;0;2
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.imagemap;StandardToolTipTagFragmentGeneratorTest;100%;0,00%;100,00%;100,00%;100,00%;0;18;0;0;0;8;0;2;0;2
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.imagemap;OverLIBToolTipTagFragmentGeneratorTest;100%;0,00%;100,00%;100,00%;100,00%;0;18;0;0;0;8;0;2;0;2
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.imagemap;ImageMapUtilsTest;92%;0,00%;89,19%;75,00%;75,00%;12;140;0;0;4;33;2;6;2;6
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.imagemap;StandardURLTagFragmentGeneratorTest;100%;0,00%;100,00%;100,00%;100,00%;0;23;0;0;0;9;0;2;0;2
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.urls;TimeSeriesURLGeneratorTest;100%;0,00%;100,00%;100,00%;100,00%;0;225;0;0;0;49;0;5;0;5
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.urls;CustomCategoryURLGeneratorTest;100%;0,00%;100,00%;100,00%;100,00%;0;235;0;0;0;65;0;6;0;6
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.urls;CustomPieURLGeneratorTest;100%;0,00%;100,00%;100,00%;100,00%;0;115;0;0;0;34;0;5;0;5
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.urls;StandardXYURLGeneratorTest;100%;0,00%;100,00%;100,00%;100,00%;0;25;0;0;0;8;0;3;0;3
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.urls;StandardPieURLGeneratorTest;100%;0,00%;100,00%;100,00%;100,00%;0;176;0;0;0;44;0;5;0;5
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.urls;CustomXYURLGeneratorTest;100%;0,00%;100,00%;100,00%;100,00%;0;235;0;0;0;65;0;6;0;6
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.urls;StandardCategoryURLGeneratorTest;100%;0,00%;100,00%;100,00%;100,00%;0;144;0;0;0;40;0;5;0;5
java (16/05/2022 05:44:50)/jfreechart-master/src/test/java;org.jfree.chart.title;TitleTest;100%;0,00%;100,00%;100,00%;100,00%;0;84;0;0;0;28;0;3;0;3
